shop_name,categories,short_description,img_url
Foot Locker,['Shoes'],"Known for its strong presence in the market, Foot Locker caters to all ages with a focus on trendy and performance-oriented gear.",https://media.analyzify.com/3/6552/logo-dnx4ykIz.svg
Carhartt WIP,"['Clothing', 'Textile', 'Accessories']","Initially established in 1889 in Detroit by Hamilton Carhartt as a workwear brand, Carhartt’s durable products quickly became a staple in the wardrobe of manual laborers.",https://media.analyzify.com/3/6810/icon.jpeg
Polène,"['Accessories', 'Textile']","Polène is a luxury leather goods brand based in Paris. 

Claiming to create “pieces that combine minimalism and character”, the brand offers handbags, jewelry, and accessories that combine minimalist and organic design with exquisite craftsmanship.",https://media.analyzify.com/3/6757/logo.png
Heads Up For Tails,['Pets'],Heads Up For Tails is a Shopify store that sells pet supplies and products mainly for dogs and cats.,https://media.analyzify.com/3/6549/icon.jpeg
Eurus Concept,['Furniture'],"Eurus Concept is a distinguished Turkish furniture brand that seamlessly blends aesthetics, craftsmanship, and functionality in its exquisite collections.",https://media.analyzify.com/3/6800/logo.png
Allbirds,"['Shoes', 'Eco-Friendly', 'Footwear']","Allbirds is a sustainable footwear brand that uses natural materials such as wool, eucalyptus, and sugarcane to create comfortable and stylish shoes.",https://media.analyzify.com/3/6631/logo.svg
SKIMS,"['Clothing', 'Textile', 'Accessories', 'Fitness']","SKIMS is a brand established by Kim Kardashian that produces shapewear, underwear, and loungewear for all body types.",https://media.analyzify.com/3/6493/logo.png
bad.no,['Bathroom Furniture'],"Bad.no, a Norwegian-owned online retailer founded in 2004, specializes in bathroom products and services.",https://media.analyzify.com/1/2065/logo.png
Oh Polly,['Clothing'],"Oh Polly is a rapidly growing pureplay fashion brand that has made a name for itself by offering trend-driven, high-quality women's clothing internationally.",https://media.analyzify.com/1/2048/icon.jpeg
Gymshark,"['Clothing', 'Sports & Sportswear', 'Fitness', 'Textile', 'Accessories']","Gymshark, founded in 2012 by Ben Francis, started as a small fitness apparel brand that quickly grew into a global powerhouse in the fitness industry.",https://media.analyzify.com/1/1562/gymshark-logo-8SGB5XRa.png
